borough,code,library,year,loans,digital,members,books,music,audiobooks,movies,videogames,all.others,librarians,others,staff.total,surface,hours
Plateau-Mont-Royal,y47,Mordecai-Richler,2015,179692,1026,5004,75998,2595,731,4871,231,8428,2,10.30714286,12.30714286,1348.7,54
Plateau-Mont-Royal,y48,Plateau Mont-Royal,2015,218839,3162,12114,71516,0,533,4742,224,5499,2,14.17142857,16.17142857,790,52
Pierrefonds-Roxboro,p87,Pierrefonds,2015,300746,2504,10425,170977,3001,2048,4066,300,9415,4.612527473,22.54288462,27.15541209,1501.46,66
Pierrefonds-Roxboro,p88,Roxboro,2015,54943,874,5425,53212,892,467,2421,215,3995,1.224862637,2.847472527,4.072335165,526.01,54
Rosemont–La Petite-Patrie,r39,La Petite Patrie,2015,177064,2293,6941,73813,3009,601,4068,254,7932,2.314285714,8.228571429,10.54285714,1214.44,53
Rosemont–La Petite-Patrie,r41,Marc-Favreau,2015,447443,2106,9127,122750,3720,1218,5982,795,11715,5.885714286,20.13571429,26.02142857,2659.64,53
Rosemont–La Petite-Patrie,r40,Rosemont,2015,298844,8091,17628,84954,3884,630,5558,437,10509,2.741758242,11.58516484,14.32692308,863.05,53
Rivière-des-Prairies–Pointe-aux-Trembles,t10,Pointe-aux-Trembles,2015,180999,6247,9671,74875,2,563,1113,354,2032,3,13.90384615,16.90384615,1501.2,53
Rivière-des-Prairies–Pointe-aux-Trembles,t11,Rivière-des-Prairies,2015,145150,2753,9942,117865,2,486,1803,367,2658,2,12.9543956,14.9543956,2286.5,53
Saint-Laurent,s85,Du Boisé,2015,462487,1492,16869,144762,4014,953,10303,1063,16333,9.307692308,32.02197802,41.32967033,3575.6,65
Saint-Laurent,s84,Vieux-Saint-Laurent,2015,233516,1794,14083,121831,8376,1591,11075,703,21745,7.08021978,20.79120879,27.87142857,1995.6,65
Saint-Léonard,n22,Saint-Léonard,2015,340912,1900,17868,178118,4041,440,4740,992,10213,6,16.47975824,22.47975824,4479.87,57
Sud-Ouest,g63,Georges-Vanier,2015,85982,594,3087,39571,1255,83,3437,105,4880,2,7.460989011,9.460989011,735.71,53
Sud-Ouest,g64,Marie-Uguay,2015,136619,1545,6559,56039,3456,395,4916,352,9119,2.175824176,7.642857143,9.818681319,873.34,53
Sud-Ouest,g66,Saint-Charles,2015,97765,573,3037,43077,2328,44,4102,104,6578,2,7.500549451,9.500549451,558.42,53
Sud-Ouest,g65,Saint-Henri,2015,91691,623,2946,41225,1214,126,3516,203,5059,2,5.455494505,7.455494505,1141.3,53
Verdun,v76,Île des Sœurs,2015,110575,1933,7189,55432,3258,266,2865,202,6591,1,4.557142857,5.557142857,507.14,53
Verdun,v75,Verdun,2015,184082,2438,12865,131999,6972,713,5962,300,13947,2.857692308,8.8,11.65769231,1848.7,53
